Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_3_14818638	0.03	0.03	4.47	4.9	0	0	0.04	0.03	0.08	0.04	8.06	7.16	7.49	6.87	0.38	0.21	0.06	0.17	0.01	0.02
merged_2_2628938	0.16	0	7.94	8.55	0.09	0.15	0.35	0.53	0.39	0.55	10.12	9.81	7.89	7.34	0.17	0.26	0.57	0.57	0	0
merged_2_2954446	0	0	1.83	1.53	0	0	0	0	0.21	0	2.79	2.66	2.18	2.01	0	0	0	0	0	0
merged_4_2639560	0.05	0	23.96	20.76	0.24	0.05	0.09	0.04	0.04	0.24	26.44	24.86	24.03	26.88	0.11	0.08	0.43	0.88	0.27	0.06
merged_2_8454479	0	0	9.66	8.01	0	0	0	0.19	0	0.63	12.9	10.89	3.96	4.68	0	0.19	0.28	0.17	0.15	0.14
merged_4_1914313	0	0	4.3	4.3	0	0	0.13	0	0.06	0.21	6.33	5.87	7.64	7.75	0	0	0.41	0.33	0	0
merged_1_22521077	0	0	7.73	7.53	0	0.07	0.06	0.18	0.3	0.23	12.94	12.1	3.63	4.63	0	0	0.18	0.21	0.19	0.09
merged_5_10702105	0.06	0	10.99	11.7	0	0	0.15	0	0.1	0.09	20.06	17.51	6.76	8.44	0.13	0.19	0.28	0.08	0	0
merged_2_7773081	0	0.58	19.53	16.64	0	0	0	0	0	0.28	9.2	9.5	11.15	8.07	0.39	0.59	0.43	0.52	0	0
merged_4_4281937	0	0	2.07	1.82	0	0	0.04	0.01	0.08	0.08	4.72	4.19	4.53	4.09	0.12	0	0.18	0.31	0	0.02
merged_3_21655872	0	0.18	37.18	35.85	0	0	0	0.38	0.37	0.18	18.84	18.62	21.17	22.41	0.49	0.37	1.36	1.3	0.3	0
merged_1_20508807	0.16	0.04	14.13	11.8	0	0	0.09	0.04	0.17	0.29	16.28	17.11	6.65	6.49	0	0.09	0.13	0.38	0.14	0
merged_1_7528060	0.14	0	5.07	4.59	0.33	0	0.12	0.23	0.11	0.11	1.47	1.22	1.56	1.51	0.3	0	0	0	0.18	0.16
merged_3_14189561	0.03	0.02	2.29	1.8	0	0.03	0.05	0.02	0.05	0.09	2.5	1.99	1.8	1.76	0	0.05	0.04	0.04	0	0
merged_1_16724035	0.18	0	2.81	3.13	0.1	0	0.15	0.07	0.14	0.34	5.29	3.3	2.25	1.39	0.09	0	0.42	0.63	0	0
merged_2_5870896	0.35	0.43	13.11	13.62	0.84	0	1.08	0.59	1	0.27	24.15	22.99	7.69	7.03	0	0	1.06	1.27	0	0
merged_2_1766064	0	0.03	6.44	5.49	0	0.03	0.12	0.03	0.11	0.27	7.82	6.44	8.25	7.19	0.11	0.12	0.3	0.36	0.09	0
merged_1_20492421	0	0	16.43	18.17	0.4	0	0.39	0.18	0.27	0.35	26.55	27.31	29.46	29.19	0.36	0.18	0.53	0.16	0.15	0
merged_1_20734076	0	0	25.44	22.77	0.2	0	0.14	0	0.27	0.25	34.24	30.93	38.7	45.3	0.18	0.27	1.18	1.18	0.22	0.19
merged_1_7023439	0.05	0.12	29.7	27.03	0	0	0.26	0.16	0.24	0.42	30.86	31.69	16.8	17.45	0.05	0.08	0.65	0.07	0	0.06
merged_2_14155062	0	0.31	20.3	17.6	0	0.12	0	0.22	0.21	0.71	16.18	15.28	6.77	6.4	0	0	0	0.37	0	0
merged_5_13509155	0.06	0.09	10.66	10.91	0	0	0	0	0.05	0.18	18.77	18.76	4.86	6.27	0	0	0.34	0	0	0
merged_3_22002204	0	0.25	28.83	29.01	0	0	0.28	0	0	0.49	21.57	24.59	29.34	29	0.34	0	0.76	0.46	0	0
merged_1_23876963	0	0	7.25	8.83	0	0.23	0	0	0.1	0	14.35	12.39	2.02	2.75	0	0	0	0	0	0
merged_4_16572226	0	0	7.93	6.54	0	0.19	0	0.08	0.16	0.38	7.63	6.98	6.1	6.91	0	0.32	0.23	0.28	0.13	0
merged_2_12075840	0.11	0.09	41.42	35.9	0	0.2	0.09	0.27	0.69	0.5	58.16	54.66	60.02	53.97	0.11	0.17	1.03	1.54	0.14	0.25
merged_2_3944405	0	0	2.46	2.29	0	0	0	0	0.13	0	4.6	3.88	2.07	2.31	0	0	0.07	0.08	0	0
merged_1_23453053	1.06	0.99	615.7	566.87	0.21	0.07	0.49	0.33	4.94	3.42	200.2	185.22	366.15	364.41	21.17	18.73	24.91	23.75	0.17	0.59
merged_2_6091497	0.11	0	8.81	9.19	0	0	0.4	0.09	0.18	0.35	15.67	16.95	16.74	14.53	0.24	0	0.54	0.33	0	0
merged_5_21534180	0	0	5.59	6.83	0	0	0	0.38	0.19	0	8.16	8.08	4.54	4.98	0	0	0	0	0	0
merged_1_13591667	0.12	0.05	6.12	5.34	0.03	0.06	0.03	0.14	0.23	0.2	9.41	7.27	4.51	4.49	0	0.05	0.38	0.41	0.04	0.14
merged_5_14614295	0	0	11.39	16.49	0	0	0	0	0.18	0.52	22.98	21.78	8.7	8.25	0	0.36	0.81	0	0	0
merged_5_7069936	0	0.07	26.51	23.67	0	0	0	0.21	0	0.13	24.53	24.38	3.7	4	0	0	0.1	0	0	0
merged_4_9439355	0	0	14.33	10.88	0.17	0.14	0.12	0.35	0.23	0.33	18.33	19.75	4.78	6.38	0	0	0	0.21	0	0
merged_5_21189162	0.17	0	1.01	1.19	0	0	0	0	0	0	0.18	0.1	1.09	0.72	0	0	0	0	0	0
merged_2_2291807	0	0.09	32.87	32.42	0.14	0.11	0.1	0	0	0.18	34.77	34.27	7.89	4.99	0	0	0.14	0.17	0	0
merged_4_14122017	0	0.18	57.97	62.55	0.13	0	0.2	0.38	0.28	0.53	107.28	79.37	180.63	184.95	0.49	0	1.9	2.12	0.15	0.13
merged_5_14780165	0	0.05	6.08	5.41	0	0.18	0	0.32	0.31	0.39	5.68	5.54	8.58	9.96	0.14	0	0.15	0.46	0.08	0
merged_1_13081513	0	0	5.07	5.17	0	0.21	0.29	0.19	0	0.09	7.14	6.81	3.1	3.88	0.24	0	0.54	0.32	0	0
merged_2_2722926	0	0.04	2.33	2.34	0	0	0.04	0.04	0.07	0.14	5.84	4.64	3.66	4.27	0.05	0.07	0.22	0.13	0	0.05
merged_3_9123560	0.62	0.5	20.64	13	0.25	0	0.18	0	0	0.32	10.01	9.11	113.74	99.33	0.22	0	1	0	0.27	0.73
merged_1_16691154	0.03	0.02	3.25	3.41	0.01	0.03	0.07	0.08	0.1	0.08	6.82	6.19	4.02	4.09	0.04	0.04	0.2	0.11	0	0.01
merged_1_24533976	0	0	19.31	24.05	0	0	0	0	0.31	0.89	31.72	23.12	9.1	9.43	0	0	0	0	0	0
merged_1_19319137	0.13	0.15	49.4	47.56	0.07	0.18	0.11	0.1	0.05	0.44	44.27	39.18	8.26	9.25	0	0	0.3	0	0	0.15
merged_5_8748747	0	0	13.89	13.14	0.09	0	0	0.06	0.06	0.22	15.57	15.13	14.17	15.76	0	0	0.17	0.21	0	0
merged_4_1628404	0	0	10.25	10.19	0	0	0	0	0.18	0	12.04	14.4	7.29	6.86	0	0.18	0	0.16	0	0
merged_1_15184550	0	0.01	3.61	3.55	0	0	0.03	0.04	0.06	0.07	6.5	5.46	6.02	6.18	0.19	0.14	0.25	0.24	0.03	0.01
merged_4_9078509	0	0.09	19.17	17.31	0	0.11	0.05	0.09	0.41	0.35	20.85	21.23	5.55	6.62	0.06	0	0.27	0.16	0	0
merged_4_2230958	0	0.22	6.09	6.85	0.07	0	0.15	0.05	0.14	0.26	10.55	8.72	7.76	8.35	0.06	0	0.67	0.16	0	0.13
merged_Mt_183981	0.14	0.08	0.91	0.97	0.13	0.25	0.18	0.19	0.27	0.2	5.28	4.65	1.7	1.45	0.22	0.18	0.25	0.23	0.21	0.13
merged_5_17432454	0.07	0	28.73	26.67	0.25	0.07	0.06	0.28	0.28	0.32	36.56	31.79	30.81	28.25	0.22	0	0.25	0.69	0.09	0.08
merged_3_5743869	0.33	0	5.97	7.56	0	0	0.14	0	0.13	0.13	12.17	11.61	6.47	5.91	0	0	0.2	0.24	0	0
merged_2_2074042	0.02	0.07	9.84	9.93	0.04	0.04	0.13	0.09	0.2	0.32	12.99	11.48	14.57	14.34	0.03	0.04	0.45	0.44	0.06	0.04
merged_1_822237	0.65	1.31	67.16	60.67	0	0	0	0	0	0.25	90.03	77.05	46.44	55.67	0	0	1.18	0.47	1.72	0.38
merged_2_15884384	0.17	0.27	5.9	4.75	0	0	0	0.14	0.27	0.26	10.24	7.12	9.37	8.93	0	0	0.61	0	0	0
merged_2_603296	0.19	0	34.11	32.28	0.22	0	0	0.15	0.3	0.14	49.44	41.04	83.56	86.47	0	0	0.67	0.8	0	0.44
merged_3_13422456	0.02	0.03	2.92	3.14	0	0	0.01	0.04	0.03	0.08	8.78	7.58	4.01	3.92	0.12	0.06	0.13	0.1	0.02	0.01
merged_4_6014504	0	0.17	38.05	38.23	0	0	0	0.09	0.17	0.24	25.49	21.04	16.23	19.46	0	0.17	0.25	0	0.14	0.37
merged_2_4348635	0	0	2.57	3.48	0	0	0	0	0	0	6.71	6.01	10.75	9.76	0	0	0.34	0.2	0	0
merged_4_4677212	0.23	0.37	8.7	7.12	0	0.11	0.3	0.1	0.66	0.18	8.66	9.22	1.98	1.42	0	0	0.42	0.33	0	0
merged_1_3073390	0	0.13	22.31	19.76	0	0	0.07	0	0.57	0.49	23.16	22.76	20.1	18.71	0.08	0	0.38	0.68	0.1	0.09
merged_1_11889972	0.1	0	4.79	4.37	0	0	0.18	0	0	0.16	6.05	6.59	2.42	2.06	0	0	0	0	0	0
merged_5_15205101	0	0	23.5	18	0.13	0.1	0.09	0.18	0.26	1.01	22.8	23.96	6.71	5.25	0	0.18	0.39	0.31	0	0
merged_5_26277046	0.75	0	15.72	12.34	0	0	0.65	0	1.21	0.58	14.11	11.74	17.73	9.19	0	1.22	0.9	2.15	0	0
merged_5_18199899	0.05	0.04	3.19	2.7	0.03	0	0.04	0.08	0.12	0.04	5.69	5.7	2.72	2.9	0.05	0	0.09	0.1	0	0
merged_4_4543482	0.08	0	1.42	1.41	0	0	0.04	0.03	0.07	0.06	2.14	2.19	1.31	1.08	0.09	0	0.05	0.18	0	0
merged_1_20979271	0.28	0.28	18.45	17.71	0.45	0.38	0.39	0.6	0.91	1.61	20.39	18.25	15.91	16.7	0.35	0.16	2.52	2.52	0.07	0.21
merged_3_11552210	0	0	3.29	3.25	0	0	0	0	0	0.06	5.4	3.76	2.88	3.53	0.13	0	0.14	0	0	0
merged_3_12631876	0	0.2	86.59	83.11	0.07	0	0.11	0	0.45	0.53	117.66	115.99	70.98	71.3	0.46	0.1	0.37	0.71	0	0
merged_1_4439714	0.46	0.12	16	10.1	0	0	0	0	0	0	0.42	0.29	6.96	7.19	0.16	0.25	0.55	0	0	0.36
merged_5_15828154	0.29	0.3	25.41	21.41	0.1	0.08	0.55	0.52	0.58	0.75	20.4	15.62	24.87	24.47	0.31	0.2	1.01	0.97	0.22	0.2
merged_1_7506356	0.14	0	3.15	3.2	0	0	0.12	0	0	0	0.75	0	1.25	1.47	0	0	0	0	0	0
merged_2_13310464	0	0.36	23.61	24.83	0	0	0	0	0.36	0.52	1.75	2.26	7.84	6.01	0	0	0	0.32	0	0.26
merged_2_3396009	0.37	0.4	0.8	0.87	0.36	0.32	0.27	0.44	0.35	0.37	3	2.43	1.34	1.42	0.35	0.3	0.34	0.36	0.22	0.26
merged_2_6170408	0	0.29	40.96	34.56	0.58	0.12	0.96	0.61	1.87	1.99	43.67	38.77	13.16	11.27	0	0	1.17	0.88	0.16	0
merged_5_9112850	0.45	0.19	150.12	125.76	0.03	0.02	0.02	0.04	0.42	0.24	28.84	24.43	118.31	121.39	0.26	0.54	0.34	0.24	0.16	0.08
merged_1_21114631	0	0.08	9.64	9.3	0.12	0	0.09	0	0.08	0.08	12.82	9.97	13.11	11.55	0	0	0.12	0	0	0
merged_5_14398398	0	0.14	10.92	7.84	0	0	0.3	0	0.14	0	18.68	16.93	7.92	5.46	0	0	0	0	0	0
merged_1_16840648	0.08	0.05	12.25	10.86	0.1	0.08	0.15	0.07	0.09	0.24	20.15	19.35	9.36	8.43	0.03	0.09	0.27	0.2	0.04	0
merged_4_12750367	0	0.18	22.9	24.52	0	0.14	0.32	0	0.06	0.17	31.35	29.62	15.44	15.34	0	0	0	0	0.1	0.09
merged_3_14769461	0	0	2.14	1.77	0	0	0	0	0.08	0	3.78	2.67	2.62	2.19	0	0	0	0	0	0
merged_3_12823305	0	0	6.82	4.71	0	0	0.13	0	0.73	0.47	6.84	6.7	1.78	2.61	0	0	0.72	0.22	0	0
merged_3_9382435	0.15	0.12	23	27.09	0	0	0.27	0	0.12	0.12	36.36	35.74	23.35	21.96	0	0	0.55	0	0	0
merged_5_11249029	0	0	9.8	6.54	0	0	0	0	0.1	0.1	6.39	5.52	3.18	2.33	0.13	0	0.6	0	0	0
merged_4_2830836	0.08	0	2.6	2.41	0	0	0.14	0	0	0	3.44	4.48	1.5	1.81	0.17	0.13	0	0.11	0	0
merged_2_3731654	0	0	1.45	1.69	0	0	0.04	0	0.04	0.04	2.65	1.93	2.45	1.59	0.2	0.15	0.06	0	0	0
merged_4_3902197	0.02	0.05	4.16	4.23	0	0.02	0.03	0.03	0.13	0.12	7.42	6.12	5.42	6.15	0.15	0.13	0.33	0.28	0.05	0.02
merged_2_7595108	0	0	17.97	16.64	0	0	0	0	0.06	0.12	9.5	8.45	45	54.38	0	0	0.1	0.11	0	0
merged_2_6105999	0	0	1.53	1.66	0	0	0.01	0.03	0.05	0.07	5.21	3.98	2.69	2.33	0.05	0.03	0.11	0.04	0	0
merged_3_17086939	0	0.09	32.74	32.49	0	0	0.2	0	0.09	0.09	24.81	21.22	30.33	28.9	0	0	2.02	1.13	0	0
merged_1_13893730	0	0.09	10.27	9.09	0	0.21	1	0.77	1.56	1.36	14.91	13.14	10.12	10.51	0.11	0	2.19	2.16	0.09	0.04
merged_3_12661363	0	0	25.3	25.45	0.32	0	0	0.23	0	0	32.64	31.11	26.36	23.81	0.29	0	0.65	0.39	0.72	0
merged_5_3815048	0	0.19	93.38	82.18	0.56	0	0.1	0.1	0.28	0.72	60.58	51.24	43.91	42.87	0	0	0.14	0.5	0	0.14
merged_3_4752896	0.27	0	122.58	135.1	0.32	0.51	0.23	0	0.65	1.24	180.25	180.92	102.83	106.46	0.57	0	1.28	1.54	0	0
merged_3_13674055	0.03	0	2.15	1.58	0.04	0	0	0	0.03	0.1	3.77	2.4	3.11	2.51	0.04	0	0.16	0.34	0.04	0.12
merged_2_1988150	0	0	18.07	16.87	0	1.09	0	0.47	0	0	21.6	19.97	7.67	7.8	0	0	0	0.41	0	0
merged_Mt_164714	0.09	0	0.19	0.24	0.2	0	0	0.07	0.07	0	1.14	0.65	0.68	1.12	0	0	0	0	0	0
merged_5_9231418	0.15	0.06	3.59	3.19	0.18	0	0.47	0.13	0	0.41	7.54	6.37	4.88	5.08	0.08	0	0.64	0.44	0	0
merged_2_10541468	0.13	0.21	4.97	5.12	0	0.25	0.11	0.21	0.37	0.3	4.49	4.18	7.33	5.89	0.14	0.11	0.7	0.09	0.09	0
merged_1_12021638	0.12	0.2	38.82	39.74	0.2	0.2	0.25	0.17	0.33	0.35	19.3	18.37	45.98	43.65	0.26	0.33	0.59	0.59	0.11	0
merged_3_7318937	0.17	0.27	57.67	59.36	0.2	0.16	0	0	0.41	0.91	69.75	72.92	18.63	20.8	0.18	0	0.8	0.48	0.22	0.2
merged_5_14676091	0.05	0.02	6.87	6.13	0	0.05	0.12	0.11	0.15	0.27	13.69	12.55	7.08	6.06	0.09	0	0.54	0.27	0.07	0.09
merged_1_7717227	0.05	0.06	13.14	11.66	0.03	0.05	0.04	0.06	0.14	0.15	15.68	14.17	6.19	6.48	0	0.12	0.18	0.14	0.03	0.09
merged_4_2535676	0.12	0.1	18.03	17.92	0	0	0	0.1	0.4	0	4.34	4.29	16.96	16.94	0.26	0.2	0.29	0.7	0.16	0.14
merged_5_14602499	0	0	12.15	10.04	0.07	0.12	0.05	0.05	0	0.05	12.63	10.43	2.89	3.56	0	0.2	0	0	0.08	0
merged_1_23925375	0.01	0.03	8.21	7.35	0.06	0.02	0.08	0.09	0.08	0.26	9.44	8.07	9.09	9.12	0.09	0.03	0.34	0.33	0.01	0.07
merged_4_1757006	0.25	0.46	49.9	56.55	0.49	0.55	0.79	1.22	1	2.35	66.21	67.6	58.88	54.01	0.44	0.53	5.02	3.9	0.54	0.67
merged_3_13354205	0	0	2.28	2.08	0	0	0.03	0.06	0.06	0.03	4.46	3.97	3.79	3.39	0	0	0.23	0.05	0	0.09
merged_2_4972866	0.07	0.02	8.67	8.75	0	0.02	0.04	0.04	0.14	0.13	20.3	18.12	15.44	15.96	0.62	0.28	0.44	0.31	0.03	0.03
merged_1_5389623	0	0.12	7.55	6.94	0	0.14	0.13	0	0	0.23	11.2	10.25	4.3	3	0	0	0	0.21	0	0.35
merged_4_5297203	0	0.16	9.69	8.66	0	0	0	0	0	0.11	13.3	10.66	12.3	11.14	0	0.22	0.73	0.39	0.18	0.08
merged_3_6486267	0.05	0.12	31.84	29.87	0.18	0.14	0.26	0.16	0.44	0.46	32.52	30.88	28.14	28.39	0.05	0.08	1.06	0.35	0	0
merged_3_14683051	0.02	0.07	21.87	21.26	0	0.07	0.03	0.11	0.13	0.37	28.69	24.99	18.16	18.05	0.25	0.36	1.03	0.79	0	0.04
merged_1_8690828	0	0	14.99	13.53	0.15	0.12	0	0.1	0.1	0.29	18.92	17.02	7.9	6.77	0	0	0.75	0.54	0	0
merged_3_13199011	0	0.04	2.48	2.37	0	0	0.04	0	0	0	6.44	5.31	3.04	1.8	0.05	0	0.1	0.06	0.06	0
merged_4_4015971	0	0	3.14	3.17	0	0	0.02	0	0.06	0.16	4.96	4.74	4.33	4.54	0.02	0.15	0.28	0.23	0	0
merged_1_3023400	0.05	0	15.98	14.34	0	0	0.09	0	0	0.13	18.53	16.03	11.96	10.85	0	0.09	0.39	0.23	0	0
merged_1_16880852	0	0.03	9.07	8.96	0.04	0	0.09	0.03	0.06	0.08	8.79	9.37	7.36	7.88	0.11	0.06	0.47	0.46	0	0
merged_1_17005506	0	0	5.43	5.2	0	0.06	0	0.05	0.05	0.24	8.37	7.99	3.27	3.81	0.06	0	0.29	0.09	0.08	0
merged_3_5727952	0.1	0.17	14.28	13.23	0	0.07	0.27	0.14	0.39	0.35	15.8	14.32	7.84	8.33	0	0.06	0.42	0.2	0	0
merged_4_5627970	0	0.03	3.87	3.36	0	0.06	0.09	0.19	0.43	0.31	6.77	6.19	3.34	3.21	0.04	0.11	0.48	0.24	0	0
merged_2_292610	0	0	25.03	23.5	0	0	0	0	0	0	39.2	31.09	61.6	51.06	0	0	0	0.72	0	0
merged_4_6362166	0	0	13.11	12.69	0	0	0	0.11	0.51	0	12.73	12.5	10.77	9.44	0.14	0.41	0.46	0.18	0	0
merged_4_1697649	0	0.04	2.24	2.96	0	0	0.08	0	0.04	0.14	4.33	4.32	6.39	6.69	0.43	0.07	0.16	0.32	0	0.05
merged_1_8016208	0	0	39.4	40.98	0	0	0	0.12	0.24	0.93	62.41	48.1	18.67	22.97	0	0	0.36	0.43	0	0
merged_3_10999837	0	0	9.41	9.39	0	0	0	0.12	0.24	0.57	15.78	13.44	4.39	3.76	0	0.12	0.18	0.11	0	0
merged_2_3925238	0	0.15	6.31	6.02	0	0.09	0.29	0.23	0.42	0.51	7.52	7.25	4.7	4.58	0.1	0	0.95	1.01	0.12	0.05
merged_3_10204138	0	0.31	50.93	50	0.46	0.73	0.34	0	0.31	0.6	72.81	79.24	12.89	13.31	0	0	0.46	0	0	0
merged_5_14373017	0	0	4.69	5.5	0	0	0	0	0.1	0	6.32	6.43	6.5	4.39	0	0	0	0	0	0
merged_1_12214935	0.28	0.22	108.21	102.9	0.17	0	0	0.12	0.56	0.76	149.09	133.75	119.31	129.81	0.15	0.23	1	0.6	0.37	0.82
merged_2_5499633	0	0.05	1.63	1.8	0	0	0.06	0	0	0.1	2.81	2.73	2.61	2.54	0	0.1	0.08	0	0	0
merged_5_24186850	0	0	8.36	6.48	0	0	0	0	0	0.07	10.14	9.14	1.95	2.95	0	0	0	0	0	0
merged_3_12220723	0	0.01	3.93	3.87	0	0	0.02	0.04	0.06	0.07	6.4	5.34	6.61	6.54	0.2	0.14	0.25	0.25	0	0
merged_1_13397609	0.02	0.02	2.83	3.02	0	0.04	0.02	0.03	0.05	0.05	3.9	3.66	4.39	4.17	0.02	0.03	0.12	0.17	0.03	0.05
merged_1_21790000	0.09	0.11	21.65	21.34	0.06	0.22	0.45	0.27	0.26	0.47	21.05	21.02	9.6	11.21	0.1	0.08	0.67	0.47	0.06	0.05
merged_5_18193343	0	0	7.86	7.72	0	0.09	0	0.07	0.22	0.21	11.59	10.93	6.91	7.13	0	0.14	0.21	0.51	0	0
merged_2_3260814	0.02	0.07	1.04	1.05	0.07	0.11	0.04	0.13	0.04	0.14	2.22	1.97	2.17	2.29	0.05	0.08	0.17	0.12	0.05	0.1
merged_4_684017	0.12	0	8.84	7.23	0	0	0	0	0.19	0.18	12.06	12.68	4.8	3.4	0	0	0.28	0	0.15	0
merged_4_8802120	0	0	14.98	16.82	0	0	0.12	0.06	0.44	0.21	21.63	18.82	3.19	3.64	0.07	0	0.08	0.19	0	0
merged_3_13907129	0	0	4.64	4.52	0.01	0	0	0.01	0.04	0.04	9.18	8.52	8.83	8.48	0.32	0.49	0.26	0.31	0.01	0
merged_3_13790386	0	0	2.61	1.42	0	0	0	0	0	0.12	1.86	1.82	1.3	1.76	0	0	0	0.22	0	0
merged_5_18210976	0	0	9.08	9.39	0	0	0	0	0	0.17	12.14	14.29	3.6	4.11	0	0	0	0	0	0
merged_5_13712424	0	0.14	7.64	5.48	0	0	0	0	0	0	6.6	6.91	2.99	3.41	0	0	0	0	0.23	0
merged_1_22206697	0.08	0.13	5.39	4.41	0	0	0.07	0.2	0.07	0.13	3.22	3.54	1.29	1.72	0	0	0.29	0.12	0	0
merged_5_19024737	0	0.21	15.03	14.73	0	0.12	0.11	0.11	0.42	0.6	20.63	19.63	18.23	18.25	0.14	0	0.31	0.37	0	0
merged_3_14372464	0	0	1.52	1.45	0	0	0	0	0.05	0.05	2.41	2.35	1.57	1.73	0.01	0.02	0.03	0.04	0	0
merged_1_14246697	0	0	3.36	2.57	0	0	0	0	0.08	0.06	5.02	4.54	2.38	2.71	0	0.04	0.06	0	0	0
merged_3_10313898	0	0.17	38.41	40.47	0	0	0.18	0	0	0	59.94	56.87	19.25	18.58	0	0	0.5	0	0	0
merged_5_13646590	0.01	0.01	4.39	4.4	0.01	0.01	0.07	0.09	0.09	0.16	9.74	8.15	3.44	3.42	0.05	0.09	0.34	0.31	0	0
merged_1_24041657	0.05	0	9.78	8.44	0.17	0	0.13	0.04	0.04	0.11	4.09	3.71	1.87	2.22	0	0.08	0.23	0.21	0	0
merged_3_14498540	0.02	0.03	2.81	2.51	0	0	0.02	0.02	0.12	0.13	9.43	8.29	4.29	4.24	0.02	0.04	0.13	0.16	0.03	0
merged_4_4088377	0.14	0.12	29.83	21	0	0	0	0.12	0.23	0	43.19	37.54	30.06	22.12	0	0.23	0.69	0.21	0	0
merged_2_3628861	0.02	0.03	4.86	4.49	0.1	0.1	0.07	0.14	0.26	0.24	11.81	11.68	3.15	2.64	0.02	0.03	0.44	0.38	0.05	0.02
merged_1_22851189	0	0	4.74	4.03	0	0	0	0.08	0.08	0.07	6.9	5.2	3.3	3.27	0	0	0	0.14	0	0.11
merged_3_14141698	0.04	0	4.58	4.85	0	0	0	0	0.1	0.03	8.33	7.74	4.52	5.17	0	0	0.05	0.36	0	0
merged_3_3838514	0.22	0.61	24.54	25.29	0.39	0.41	0.38	0.27	0.18	0.34	30.93	27.38	8.98	11.5	0	0.18	0.39	0.16	0.29	0.13
merged_4_8393097	0	0	5.49	5.21	0	0	0.1	0	0.18	0.44	13.01	10.76	9.36	9.45	0	0	0.41	0	0	0
merged_5_11231603	0.27	0	10.79	9.26	0	0	0	0	0	0.1	11.35	6.97	3.43	4.54	0	0	0.32	0	0	0
merged_4_6351372	0	0	42.14	43.03	0.21	0	0.15	0	0	0.27	43.81	37.2	19.23	15.73	0	0	0	0.5	0	0
merged_3_12275545	0.2	0.24	18.03	14.14	0.17	0	0.85	1.01	1.58	1.97	19.71	20.15	14.43	13.86	0.26	0.24	3.16	4.15	0.13	0
merged_4_1189949	0	0.09	34.97	32.43	0	0	0.1	0.09	0.36	0.17	44.79	38.08	39.21	36.38	0	0.18	0.94	0.65	0	0
merged_2_10520083	0.12	0.09	106.52	113.45	0	0.22	0	0.1	0.19	0.09	61.67	58.97	182.11	166.21	0.74	1.88	1.94	0.83	0	0.27
merged_5_22911977	0.33	0	12.48	12.59	0	0.32	0	0	0	0.26	14.55	13.75	4.15	1.92	0	0	0.4	0.48	0	0
merged_5_8622250	0.14	0.17	1.77	1.44	0.33	0.07	0.18	0.26	0.25	0.21	3.86	2.85	1.43	1.54	0.07	0.06	0.21	0.2	0.05	0.04
merged_2_6714842	0.07	0.05	19.49	18.16	0.04	0	0.12	0.17	0.41	0.16	27.91	24.66	8.47	8.26	0.04	0.11	0.37	0.1	0	0
merged_2_5109845	0	0.02	8.03	8.22	0.03	0.03	0.16	0.09	0.45	0.45	11.7	10.48	6.31	5.8	0	0.04	0.35	0.65	0.03	0
merged_5_18919828	0	0	26.83	24.76	0.36	0	0.13	0	0	0	28.59	23.24	15.13	10.92	0	0	0	0.44	0	0
merged_5_14301925	0.22	0.17	100.78	101.26	0	0.62	0	0.54	2.27	1.34	139.52	133.61	45.59	55.17	0	0	0.26	1.55	0	0
merged_2_3684217	0	0	1.28	1.55	0	0	0	0	0.06	0.03	4.56	3.89	2.76	3.53	0.04	0	0.13	0.11	0	0
merged_3_17117065	0.14	0.11	14.73	14.31	0.24	0.26	0.24	0.34	0.28	0.32	17.17	15.27	11.43	12.83	0.15	0.33	1.31	0.69	0.09	0.32
merged_3_15789977	0	0	2.94	2.33	0	0	0	0	0.26	0	6.27	5.52	2.15	3.53	0	0	0.13	0.31	0	0
merged_1_7712071	0.34	1	73.12	70.33	0	0.11	0.3	0.66	0.64	1.14	85.23	86.47	28.55	32.23	0.12	0.18	0.82	0.33	0	0.27
merged_1_4415567	0.09	0.23	23.92	21.68	0.11	0	0.82	0.08	0.08	0.36	33.56	31.59	24.55	26	0.1	0.45	0.11	0.13	0	0.22
merged_2_7034963	0	0	3.45	3.36	0	0	0	0.12	0.22	0.11	6	4.53	5.94	5.31	0	0	0.33	0.4	0.18	0
merged_3_19700781	0.12	0.1	1.63	1.01	0	0.12	0.21	0	0.4	0	3.61	3.39	1.54	1.6	0	0	0.3	0.18	0	0
merged_2_18845820	0	0.28	3.02	3.19	0.81	0	0.3	0.28	0	0	12.7	12.01	4.95	6.91	0	0	0	0	0	0
merged_1_14683688	0	0.03	2.72	2.41	0	0	0.06	0.03	0.03	0.06	2.85	2.91	0.92	0.88	0.04	0	0.09	0.05	0	0
merged_1_13799474	0	0	2.8	2.61	0	0	0	0.02	0.16	0.02	5.56	4.65	2.57	2.51	0.08	0.08	0.14	0.07	0	0
merged_2_2049704	0	0.05	6.47	6.07	0	0.01	0.06	0.08	0.22	0.23	9	9.04	4.89	4.64	0.03	0.04	0.31	0.24	0.05	0.01
