Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_4_9486211	0.08	0	1.47	1.93	0	0.03	0.07	0.04	0.06	0.06	4.5	3.92	2.6	2.63	0.06	0	0	0.3	0.1	0.03
merged_3_8362761	0	0	5.07	5.04	0	0	0	0	0	0	0.25	0.58	1.21	0.99	0	0	0.55	0	0	0
merged_3_42759	0	0.11	42.4	36.8	0	0	0.12	0	0.11	0.1	56.42	60.69	52.72	50.81	0	0.22	0.16	0.19	0.36	0
merged_2_6923813	0	0.05	6.17	5.47	0	0	0	0.09	0	0.18	6.32	6.97	2.6	3.39	0	0	0.07	0.08	0	0
merged_2_588675	0	0	11.67	8.7	0	0	0	0	0	0.82	8.2	13.25	15.98	14.49	0	0	0	0	0	0
merged_5_8555368	0	0.71	52.8	57.22	0	0	1.16	0	0.36	1.71	82.21	81.93	33.11	31.71	0	0	1.06	0.64	0	0
merged_2_6316186	0	0	17.31	18.38	0	0	0	0.32	0	0.45	25.99	24.04	8.58	10.11	0.21	0	0	0	0	0
merged_2_1397353	0.05	0.04	11.11	10.02	0.06	0	0.05	0.09	0.21	0.2	9.68	9.75	9.78	9.94	0	0.08	0.31	0.37	0.07	0
merged_4_4657056	0.05	0.1	7.55	6.23	0.02	0.08	0.25	0.33	0.43	0.5	10.25	9.18	5.86	5.64	0.09	0.17	0.88	0.61	0.07	0.02
merged_3_14694347	0	0	2.14	1.97	0	0	0.09	0.02	0.05	0.1	3.7	3.49	2.13	2.18	0	0.02	0.05	0.21	0.02	0
merged_1_12310642	0.26	0	4.7	3.54	0.15	0	0.23	0.64	0.42	0.2	7.71	6.38	2.12	1.77	0	0	0	0	0	0
merged_1_16568852	0	0	2.6	2.55	0	0.03	0.03	0.09	0.17	0.19	5.9	5.06	3.17	3.46	0	0.06	0.17	0.31	0	0
merged_4_5438259	2.19	1.88	1070.24	996.79	0.1	0.1	0.28	0.16	4.11	2.82	366.98	343.97	910.37	871.86	55.25	48.14	48.04	49.3	0.91	1.4
merged_2_379384	0.25	0.4	52.67	49.49	1.78	0.48	0	0.62	0	0.39	68.48	72.46	113.95	112.06	0.27	1.62	2.4	1.8	0	0.59
merged_4_10167239	0	0	0	0.86	0	0	0	0	0	0	0	0	0.51	0	0	0	0	0	0	0
merged_3_12659322	0	0.05	14.63	12.59	0	0.22	0.05	0.24	0.14	0.27	17.92	17.79	5.06	5.89	0.18	0.19	0.41	0.33	0.08	0
merged_5_14469936	0	0.07	11.78	10.98	0	0	0.08	0	0.07	0.21	15.66	14.76	8.18	8.21	0	0	0.11	0.38	0	0
merged_1_15971409	0	0	4.69	4.36	0	0.1	0.19	0	0.13	0.17	7.52	6.3	4.37	4.45	0	0	0.26	0.39	0	0
merged_5_21095824	0.08	0.06	69.6	69.73	0	0.14	0.07	0	0.18	0.06	1	1.09	49.13	49.39	0.08	0.12	0.36	0.43	0.3	0.18
merged_1_18415165	0	0	55.61	46.25	0	0	0	0	0	0	28.01	22.13	42.08	42.26	0.43	0.33	0.24	0.29	0	0
merged_2_2851874	0.07	0.14	13.18	10.79	0.03	0.04	0.11	0.14	0.5	0.53	15.36	13.58	6.51	6.53	0.02	0.04	0.58	0.41	0.06	0.1
merged_1_193358	0	0	10.49	10.21	0.47	0.19	0.35	0.16	0	0.31	15.35	12.4	21.47	22.13	0.21	0	0	0	0.26	0
merged_2_8233157	0.09	0.3	57.73	52.36	0	0	0.17	0.23	0.61	0.59	73.01	77.97	16.1	13.37	0.2	0.15	0.57	0.14	0	0.11
merged_2_9965453	0	0	5.63	6.33	0	0	0.36	0.42	0	0.79	14.7	10.55	9.59	10.16	0	0.17	1.59	0.88	0	0.24
merged_4_3721685	0.07	0.12	5.26	4.59	0.03	0	0.23	0.66	0.73	0.6	8.53	7.12	6	6	0.17	0.18	0.98	0.79	0.09	0.03
merged_2_8157377	0.07	0.1	53.63	53.17	0.08	0.19	0.06	0.22	0.21	0.2	16.09	15.76	47.63	44.2	0.63	0.42	0.7	0.19	0.09	0
merged_5_11730321	0.22	0.2	15.76	16.26	0.3	0.2	0.26	0.36	0.75	0.84	29.07	27.58	46.78	46.48	0.42	0.61	3.17	3.05	0.17	0.37
